Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-g21o,Randomise questionnaire elements?,Question Key,Response
6,1653644546547,27/05/2022 09:42:26,1653644546494,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,native-language,Yes
7,1653644546547,27/05/2022 09:42:26,1653644546494,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,native-language-quantised,1
8,1653644546547,27/05/2022 09:42:26,1653644546494,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,language1,Yes
9,1653644546547,27/05/2022 09:42:26,1653644546495,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,language1-quantised,1
10,1653644546547,27/05/2022 09:42:26,1653644546495,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,language2,Yes
11,1653644546547,27/05/2022 09:42:26,1653644546495,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,language2-quantised,1
12,1653644546547,27/05/2022 09:42:26,1653644546496,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,language-3,No
13,1653644546547,27/05/2022 09:42:26,1653644546496,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,language-3-quantised,2
14,1653644546547,27/05/2022 09:42:26,1653644546496,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,END QUESTIONNAIRE,20434
1,1653644576848,27/05/2022 09:42:56,1653644578213,1,27/05/2022 10:42:58,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1536x754,,Demographics,5,continue,No,BEGIN QUESTIONNAIRE,
